Timestamp,State,Consumption,Redundant,Distance,IsOn
2025-05-06 15:52:16,FAULT,4,1,0,0
2025-05-06 15:52:17,FAULT,4,1,0,0
2025-05-06 15:52:17,FAULT,4,1,0,0
2025-05-06 15:52:17,FAULT,4,1,0,0
2025-05-06 15:52:18,FAULT,4,1,0,0
2025-05-06 15:52:18,FAULT,4,1,0,0
2025-05-06 15:52:18,FAULT,4,1,0,0
2025-05-06 15:52:19,FAULT,4,1,0,0
2025-05-06 15:52:19,FAULT,4,1,0,0
2025-05-06 15:52:19,FAULT,4,1,0,0
2025-05-06 15:52:20,FAULT,4,1,0,0
2025-05-06 15:52:20,FAULT,4,1,0,0
2025-05-06 15:52:21,FAULT,4,1,0,0
2025-05-06 15:52:21,FAULT,4,1,0,0
2025-05-06 15:52:21,FAULT,4,1,0,0
2025-05-06 15:52:22,FAULT,4,1,0,0
2025-05-06 15:52:22,FAULT,4,1,0,0
2025-05-06 15:52:22,FAULT,4,1,0,0
2025-05-06 15:52:23,FAULT,4,1,0,0
2025-05-06 15:52:23,FAULT,4,1,0,0
2025-05-06 15:52:23,FAULT,4,1,0,0
2025-05-06 15:52:24,FAULT,4,1,0,0
2025-05-06 15:52:24,FAULT,4,1,0,0
2025-05-06 15:52:24,FAULT,4,1,0,0
2025-05-06 15:52:25,FAULT,4,1,0,0
2025-05-06 15:52:25,FAULT,4,1,0,0
2025-05-06 15:52:26,FAULT,4,1,0,0
2025-05-06 15:52:26,FAULT,4,1,0,0
2025-05-06 15:52:26,FAULT,4,1,0,0
2025-05-06 15:52:27,FAULT,4,1,0,0
2025-05-06 15:52:27,FAULT,4,1,0,0
2025-05-06 15:52:27,FAULT,4,1,0,0
2025-05-06 15:52:28,FAULT,4,1,0,0
2025-05-06 15:52:28,FAULT,4,1,0,0
2025-05-06 15:52:28,FAULT,4,1,0,0
2025-05-06 15:52:29,FAULT,4,1,0,0
2025-05-06 15:52:29,FAULT,4,1,0,0
2025-05-06 15:52:29,FAULT,4,1,0,0
2025-05-06 15:52:30,FAULT,4,1,0,0
2025-05-06 15:52:30,FAULT,4,1,0,0
2025-05-06 15:52:31,FAULT,4,1,0,0
2025-05-06 15:52:31,FAULT,4,1,0,0
